Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1.95,56.25,270,top
C2,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,7.95,56.25,270,top
C3,22pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,15.3,41.25,0,top
C4,22pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,14.925,48.45,0,top
C5,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,12.35,55.05,270,top
C6,10nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,10.15,55.05,270,top
C7,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.95,31.45,0,top
C8,4.7uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,7.35937,36.05,270,top
C9,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,9.75937,36.05,270,top
C10,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,10.95,40.25,270,top
C11,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-0.25,41.65,90,top
C12,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1.55,52.25,90,top
D1,D,D_SOD-123,34.05,58.25,90,top
D2,D,D_SOD-123,36.55,58.25,90,top
D3,D,D_SOD-123,55.55,58.25,90,top
D4,D,D_SOD-123,14.95,36.25,90,top
D5,D,D_SOD-123,36.55,39.25,90,top
D6,D,D_SOD-123,55.55,39.25,90,top
D7,SK6812MINI,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,-6.85,66.15,0,top
D8,SK6812MINI,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,0.55,66.15,0,top
D9,D,D_SOD-123,17.35,57.65,90,top
D10,D,D_SOD-123,34.15,49.65,90,top
D11,D,D_SOD-123,53.15,49.65,90,top
D12,D,D_SOD-123,34.15,44.05,90,top
D13,D,D_SOD-123,53.15,44.05,90,top
D14,D,D_SOD-123,72.15,44.05,90,top
D15,D,D_SOD-123,34.15,25.05,90,top
D16,D,D_SOD-123,53.15,25.05,90,top
D17,D,D_SOD-123,72.35,25.05,90,top
D18,PRTR5V0U2X,SOT-143,-1.65,53.25,0,top
F1,500mA,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,-1.85,56.65,180,top
LS1,Speaker,Buzzer_Murata_PKMCS0909E4000-R1,-4,24.5,0,top
R1,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-11.25,29.65,0,top
R2,1.2K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-6.85,61.45,0,top
R3,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.95,29.05,0,top
R4,22,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-1.85,50.25,180,top
R5,22,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-1.85,48.05,180,top
R6,5.1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-1.85,45.85,180,top
R7,5.1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-6.85,57.85,0,top
R10,10k,Resistor-Hybrid-Front,1.05,36.25,180,top
R11,10k,Resistor-Hybrid-Front,1.05,34,180,top
SW2,SW_Push,MXOnly-1U-Hotswap,44.84725,51.19669,0,top
SW3,SW_Push,MXOnly-1U-Hotswap,63.89733,51.19669,0,top
SW5,SW_Push,MXOnly-1U-Hotswap,25.79717,32.14661,0,top
SW6,SW_Push,MXOnly-1U-Hotswap,44.84725,32.14661,0,top
SW7,SW_Push,MXOnly-1U-Hotswap,63.89733,32.14661,0,top
U1,XC6206P332MR,SOT-23,4.95,56.25,180,top
U2,STM32F303CCTx,LQFP-48_7x7mm_P0.5mm,6.05,45.75,180,top
U3,FM24C64B,SOIC-8_3.9x4.9mm_P1.27mm,7.95,20.05,0,top
Y1,8MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,14.9,44.75,0,top