Comment,Designator,Footprint,LCSC
10nF,C6,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C15850
1.2K,R2,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17379
10k,"R10,R11",SMK_keebio:Resistor-Hybrid-Back,C17414
10k,R3,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17414
1K,R1,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17513
22,"R4,R5",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17561
4.7uF,C8,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C1779
22pF,"C3,C4",Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C1804
5.1k,"R6,R7",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C27834
1uF,"C1,C2,C5",Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C28323
100nF,"C7,C9,C10,C11,C12",Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C49678
XC6206P332MR,U1,Package_TO_SOT_SMD:SOT-23,C5446
8MHz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,C57131
PRTR5V0U2X,D18,Package_TO_SOT_SMD:SOT-143,C78442
FM24C64B,U3,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C79988
STM32F303CCTx,U2,Package_QFP:LQFP-48_7x7mm_P0.5mm,C81523
D,"D1,D2,D3,D4,D5,D6,D9,D10,D11,D12,D13,D14,D15,D16,D17",Diode_SMD:D_SOD-123,C81598